opening,opening_archetype
Caro Kann Defense Panov Modern Defense,Caro Kann Defense
Caro Kann Defense Panov Modern Herzog Defense,Caro Kann Defense
Caro Kann Defense Panov Modern Mieses Line,Caro Kann Defense
Caro Kann Defense Rasa Studier Gambit,Caro Kann Defense
Caro Kann Defense Spike Variation,Caro Kann Defense
Caro Kann Defense Tartakower Forgacs Variation,Caro Kann Defense
Caro Kann Defense Tartakower Variation,Caro Kann Defense
Caro Kann Defense Two Knights Attack,Caro Kann Defense
Caro Kann Defense Two Knights Caro Kane Variation,Caro Kann Defense
Caro Kann Defense Two Knights Mindeno Exchange Line,Caro Kann Defense
Caro Kann Defense Two Knights Mindeno Retreat Line,Caro Kann Defense
Caro Kann Defense Two Knights Mindeno Variation,Caro Kann Defense
Caro Kann Defense Ulysses Gambit,Caro Kann Defense
Caro Kann Defense von Hennig Gambit,Caro Kann Defense
Catalan Opening,Catalan Opening
Catalan Opening Closed,Catalan Opening
Catalan Opening Closed Botvinnik Variation,Catalan Opening
Catalan Opening Closed Main Line,Catalan Opening
Catalan Opening Closed Main Line Rabinovich Variation,Catalan Opening
Catalan Opening Closed Traditional Variation,Catalan Opening
Catalan Opening Hungarian Gambit,Catalan Opening
Catalan Opening Open,Catalan Opening
Catalan Opening Open Alekhine Variation,Catalan Opening
Catalan Opening Open Defense,Catalan Opening
Catalan Opening Open Defense Classical Line,Catalan Opening
Catalan Opening Open Defense Modern Sharp Variation,Catalan Opening
Center Game,Center Game
Center Game Accepted,Center Game
Center Game Accepted Halasz McDonnell Gambit,Center Game
Center Game Accepted Hall Variation,Center Game
Center Game Accepted Kieseritzky Lanc Arnold Gambit,Center Game
Center Game Accepted Kieseritzky Lanc Arnold Schippler Gambit,Center Game
Center Game Accepted Kieseritzky Variation,Center Game
Center Game Accepted Normal Variation,Center Game
Center Game Accepted Paulsen Attack,Center Game
Center Game Accepted Paulsen Berger Variation,Center Game
Center Game Accepted Paulsen Charousek Variation,Center Game
Center Game Accepted Paulsen lHermet Variation,Center Game
Center Game Accepted Ross Gambit,Center Game
Center Game Accepted von der Lasa Gambit,Center Game
Center Game Beyer Gambit,Center Game
Clemenz Opening,Clemenz Opening
Closed Sicilian Defense,Closed Sicilian Defense
Closed Sicilian Defense Chameleon Variation,Closed Sicilian Defense
Closed Sicilian Defense Fianchetto Botvinnik Defense,Closed Sicilian Defense
Closed Sicilian Defense Fianchetto Botvinnik Edge Variation,Closed Sicilian Defense
Closed Sicilian Defense Fianchetto Smyslov Variation,Closed Sicilian Defense
Closed Sicilian Defense Fianchetto Variation,Closed Sicilian Defense
Closed Sicilian Defense Grand Prix Attack,Closed Sicilian Defense
Closed Sicilian Defense Grand Prix Schofman Variation,Closed Sicilian Defense
Closed Sicilian Defense Grand Prix Variation,Closed Sicilian Defense
Closed Sicilian Defense Korchnoi Defense,Closed Sicilian Defense
Closed Sicilian Defense Portland Attack,Closed Sicilian Defense
Closed Sicilian Defense Traditional Fianchetto Botvinnik Defense,Closed Sicilian Defense
Closed Sicilian Defense Traditional Line,Closed Sicilian Defense
Colle System,Colle System
Colle System Anti Colle Variation,Colle System
Colle System Rubinstein Bogoljubov Defense,Colle System
Colle System Rubinstein Classical Defense,Colle System
Colle System Rubinstein Opening,Colle System
Colle System Rubinstein Opening Semi Slav Defense,Colle System
Colle System Traditional Line,Colle System
Danish Gambit,Danish Gambit
Danish Gambit Accepted,Danish Gambit
Danish Gambit Accepted Classical Defense,Danish Gambit
Danish Gambit Accepted Copenhagen Defense,Danish Gambit
Danish Gambit Accepted Schlechter Defense,Danish Gambit
Danish Gambit Declined Sorensen Defense,Danish Gambit
Dresden Opening,Dresden Opening
Dutch Defense,Dutch Defense
Dutch Defense Alapin Variation Anti Modern Variation,Dutch Defense
Dutch Defense Alapin Variation Anti Stonewall Manhattan Gambit,Dutch Defense
Dutch Defense Alapin Variation Anti Stonewall Variation,Dutch Defense
Dutch Defense Alapin Variation Pretzel Gambit,Dutch Defense
Dutch Defense Barcza Variation,Dutch Defense
Dutch Defense Classical Rubinstein Variation,Dutch Defense
Dutch Defense Classical Stonewall Variation Modern Variation,Dutch Defense
Dutch Defense Classical Variation,Dutch Defense
Dutch Defense Fianchetto Antoshin Hort Variation,Dutch Defense
Dutch Defense Fianchetto Attack,Dutch Defense
Dutch Defense Fianchetto Blackburne Attack,Dutch Defense
Dutch Defense Fianchetto Blackburne Variation,Dutch Defense
Dutch Defense Fianchetto Botvinnik Bronstein Variation,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Alatortsev Lisitsyn Line,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Buenos Aires Variation,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Huisl Variation,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Modern Main Line,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Stonewall Botvinnik Variation,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Stonewall Variation,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Variation,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Variation with,Dutch Defense
Dutch Defense Fianchetto Ilyin Zhenevsky Winter Variation,Dutch Defense
Dutch Defense Fianchetto Leningrad Variation,Dutch Defense
Dutch Defense Fianchetto Nimzo Dutch Variation,Dutch Defense
Dutch Defense Fianchetto Semi Leningrad Variation,Dutch Defense
Dutch Defense Fianchetto Variation,Dutch Defense
Dutch Defense Hopton Attack,Dutch Defense
Dutch Defense Korchnoi Attack,Dutch Defense
Dutch Defense Korchnoi Attack Janzen Korchnoi Gambit,Dutch Defense
Dutch Defense Krejcik Gambit,Dutch Defense
Dutch Defense Leningrad Matulovic Variation,Dutch Defense
Dutch Defense Leningrad Variation,Dutch Defense
Dutch Defense Leningrad Warsaw Variation,Dutch Defense
Dutch Defense Normal Variation,Dutch Defense
Dutch Defense Queens Knight Krause Variation,Dutch Defense
Dutch Defense Queens Knight Ozols Variation,Dutch Defense
Dutch Defense Queens Knight Variation,Dutch Defense
Dutch Defense Raphael Variation,Dutch Defense
Dutch Defense Staunton Accepted Alekhine Variation,Dutch Defense
Dutch Defense Staunton Accepted Blackmars Second Gambit,Dutch Defense
Dutch Defense Staunton Accepted Chigorin Lasker Gambit,Dutch Defense
Dutch Defense Staunton Balogh Defense,Dutch Defense
Dutch Defense Staunton Gambit,Dutch Defense
Dutch Defense Staunton Gambit Accepted,Dutch Defense
ECO Not Found,ECO Not Found
English Defense,English Defense
English Defense Eastbourne Gambit,English Defense
English Opening,English Opening
English Opening Agincourt Catalan Defense,English Opening
English Opening Agincourt Catalan Defense with,English Opening
English Opening Agincourt Defense,English Opening
English Opening Agincourt Kurajica Defense,English Opening
English Opening Agincourt Romanishin Variation,English Opening
English Opening Agincourt Romanishin Variation Romanishin Gambit,English Opening
English Opening Agincourt Wimpey System,English Opening
English Opening Anglo Dutch Defense,English Opening
English Opening Anglo Dutch Hickmann Gambit,English Opening
English Opening Anglo Dutch Wade Gambit,English Opening
English Opening Anglo Indian Achilles Omega Gambit,English Opening
English Opening Anglo Indian Anglo Grunfeld Defense,English Opening
English Opening Anglo Indian Anglo Grunfeld Smyslov Defense,English Opening
English Opening Anglo Indian Anglo Grunfeld Stein Attack,English Opening
English Opening Anglo Indian Anti Anti Grunfeld Variation,English Opening
English Opening Anglo Indian Defense,English Opening
English Opening Anglo Indian Kings Indian Defense,English Opening
English Opening Anglo Indian Kings Indian Defense Grunfeld Formation,English Opening
English Opening Anglo Indian Kings Knight Queens Indian Formation,English Opening
English Opening Anglo Indian Kings Knight Queens Indian Formation with,English Opening
English Opening Anglo Indian Kings Knight Variation,English Opening
English Opening Anglo Indian Old Indian Formation,English Opening
English Opening Anglo Indian Orangutan Variation,English Opening
English Opening Anglo Indian Queens Indian Formation,English Opening
English Opening Anglo Indian Queens Knight Variation,English Opening
English Opening Anglo Indian Scandinavian Defense,English Opening
English Opening Anglo Indian Scandinavian Exchange Variation,English Opening
English Opening Anglo Lithuanian Variation,English Opening
English Opening Anglo Scandinavian Defense,English Opening
English Opening Anglo Scandinavian Loehn Gambit,English Opening
English Opening Anglo Scandinavian Malvinas Variation,English Opening
English Opening Anglo Scandinavian Schulz Gambit,English Opening
English Opening Botvinnik System,English Opening
English Opening Carls Bremen Botvinnik System,English Opening
English Opening Carls Bremen Fianchetto Line,English Opening
English Opening Carls Bremen Keres Variation,English Opening
English Opening Carls Bremen Reversed Dragon Variation,English Opening
English Opening Carls Bremen Smyslov System,English Opening
English Opening Carls Bremen System,English Opening
English Opening Caro Kann Defensive System,English Opening
English Opening Caro Kann Defensive System Anglo Slav Bogoljubov Variation,English Opening
English Opening Caro Kann Defensive System Anglo Slav London Defense,English Opening
English Opening Caro Kann Defensive System Anglo Slav Stonewall Line,English Opening
English Opening Caro Kann Defensive System Anglo Slav Torre System,English Opening
English Opening Caro Kann Defensive System Anglo Slav Variation,English Opening
English Opening Fianchetto Ultra Symmetrical Botvinnik System,English Opening
English Opening Fianchetto Ultra Symmetrical Double Fianchetto Variation,English Opening
English Opening Fianchetto Ultra Symmetrical Duchamp Variation,English Opening
English Opening Fianchetto Ultra Symmetrical Line,English Opening
English Opening Fianchetto Ultra Symmetrical Mecking Variation,English Opening
English Opening Fianchetto Ultra Symmetrical Reversed Botvinnik System,English Opening
English Opening Four Knights Bradley Beach Variation,English Opening
English Opening Four Knights Flexible Line,English Opening
English Opening Four Knights Kingside Fianchetto Line,English Opening
English Opening Four Knights Korchnoi Line,English Opening
English Opening Four Knights Nimzowitsch Variation,English Opening
English Opening Four Knights Quiet Line,English Opening
English Opening Four Knights Variation,English Opening
English Opening Great Snake Adorjan Defense,English Opening
English Opening Great Snake Variation,English Opening
English Opening Jaenisch Gambit,English Opening
English Opening Kings English Double Whammy Variation,English Opening
English Opening Kings English Drill Variation,English Opening
English Opening Kings English Nimzowitsch Flohr Variation,English Opening
English Opening Kings English Nimzowitsch Variation,English Opening
English Opening Kings English Queen Variation,English Opening
English Opening Kings English Variation,English Opening
English Opening Mikenas Carls Flohr Variation,English Opening
English Opening Mikenas Carls Sicilian Nei Gambit,English Opening
English Opening Mikenas Carls Sicilian Variation,English Opening
English Opening Mikenas Carls Variation,English Opening
English Opening Myers Variation,English Opening
English Opening Neo Catalan Bogoljubov Defense,English Opening
English Opening Neo Catalan Declined Keres Defense,English Opening
English Opening Neo Catalan Defense,English Opening
English Opening Neo Catalan Defense Accepted,English Opening
English Opening Neo Catalan Defense Declined,English Opening
English Opening Neo Catalan Semi Slav Defense,English Opening
English Opening Neo Catalan Tarrasch Defense,English Opening
English Opening Nimzo English Opening,English Opening
English Opening Nimzo English Zvjaginsev Krasenkow Attack,English Opening
English Opening Reversed Sicilian Anglo Dutch Variation,English Opening
English Opening Reversed Sicilian Closed,English Opening
English Opening Reversed Sicilian Keres Defense,English Opening
English Opening Reversed Sicilian Kramnik Shirov Counterattack,English Opening
English Opening Reversed Sicilian Taimanov Botvinnik Variation,English Opening
English Opening Reversed Sicilian Taimanov Bremen Hort Variation,English Opening
English Opening Reversed Sicilian Taimanov Full Symmetry Line,English Opening
English Opening Reversed Sicilian Taimanov Hungarian Attack,English Opening
English Opening Reversed Sicilian Taimanov Variation,English Opening
English Opening Reversed Sicilian Three Knights System,English Opening
English Opening Reversed Sicilian Troger Defense,English Opening
English Opening Reversed Sicilian Variation,English Opening
English Opening Symmetrical Anti Benoni Geller Variation,English Opening
English Opening Symmetrical Anti Benoni Variation,English Opening
English Opening Symmetrical Double Fianchetto Defense,English Opening
English Opening Symmetrical Fianchetto Rubinstein Variation,English Opening
English Opening Symmetrical Fianchetto Variation,English Opening
English Opening Symmetrical Four Knights Variation,English Opening
English Opening Symmetrical Hedgehog Defense,English Opening
English Opening Symmetrical Hedgehog Flexible Formation,English Opening
English Opening Symmetrical Three Knights Keres Parma System,English Opening
English Opening Symmetrical Three Knights System,English Opening
English Opening Symmetrical Two Knights Fianchetto Variation,English Opening
English Opening Symmetrical Two Knights Variation,English Opening
English Opening Symmetrical Variation,English Opening
English Opening Symmetrical Wing Gambit,English Opening
English Opening Two Knights Bellon Gambit,English Opening
English Opening Two Knights Fianchetto Ultra Symmetrical Reversed Botvinnik System,English Opening
English Opening Two Knights Mazedonisch Variation,English Opening
English Opening Two Knights Variation,English Opening
Englund Gambit,Englund Gambit
Englund Gambit Declined,Englund Gambit
Englund Gambit Declined Reversed Alekhine Reversed Krebs Reversed Brooklyn Variation,Englund Gambit
Englund Gambit Declined Reversed Alekhine Reversed Krebs Reversed Mokele Mbembe Variation,Englund Gambit
Englund Gambit Declined Reversed Alekhine Reversed Krebs Variation,Englund Gambit
Englund Gambit Declined Reversed Alekhine Variation,Englund Gambit
Englund Gambit Declined Reversed French Variation,Englund Gambit
Englund Gambit Deferred Soller Gambit,Englund Gambit
Englund Gambit Felbecker Gambit,Englund Gambit
Englund Gambit Hartlaub Charlick Gambit,Englund Gambit
Englund Gambit Mosquito Gambit,Englund Gambit
Englund Gambit Soller Gambit,Englund Gambit
Englund Gambit Stockholm Variation,Englund Gambit
Englund Gambit Zilbermints Gambit,Englund Gambit
Four Knights Game,Four Knights Game
Four Knights Game Double Spanish Blackburne Attack,Four Knights Game
Four Knights Game Double Spanish Janowski Variation,Four Knights Game
Four Knights Game Double Spanish Nimzowitsch Variation,Four Knights Game
Four Knights Game Double Spanish Symmetrical Metger Unpin,Four Knights Game
Four Knights Game Double Spanish Symmetrical Variation,Four Knights Game
Four Knights Game Double Spanish Variation,Four Knights Game
Four Knights Game Gunsberg Provincial Opening,Four Knights Game
Four Knights Game Gunsberg Variation,Four Knights Game
Four Knights Game Halloween Gambit,Four Knights Game
Four Knights Game Italian Noa Gambit,Four Knights Game
Four Knights Game Italian Variation,Four Knights Game
Four Knights Game Scotch Accepted Belgrade Gambit,Four Knights Game
Four Knights Game Scotch Accepted Belgrade Modern Defense,Four Knights Game
Four Knights Game Scotch Accepted Schmid Defense,Four Knights Game
Four Knights Game Scotch Krause Gambit,Four Knights Game
Four Knights Game Scotch Krause Leonhardt Defense,Four Knights Game
Four Knights Game Scotch Oxford Gambit,Four Knights Game
Four Knights Game Scotch Variation,Four Knights Game
Four Knights Game Scotch Variation Accepted,Four Knights Game
Four Knights Game Spanish Variation,Four Knights Game
Four Knights Game Spanish Variation Classical Variation,Four Knights Game
Four Knights Game Spanish Variation Ranken Variation,Four Knights Game
Four Knights Game Spanish Variation Rubinstein Accepted Exchange Variation,Four Knights Game
Four Knights Game Spanish Variation Rubinstein Countergambit,Four Knights Game
Four Knights Game Spanish Variation Rubinstein Countergambit Accepted,Four Knights Game
Four Knights Game Spanish Variation Rubinstein Henneberger Variation,Four Knights Game
French Defense,French Defense
French Defense Advance Extended Bishop Swap Variation,French Defense
French Defense Advance Nimzowitsch Gambit,French Defense
French Defense Advance Nimzowitsch System,French Defense
French Defense Advance Paulsen Attack,French Defense
French Defense Advance Paulsen Euwe Variation,French Defense
French Defense Advance Paulsen Main Line,French Defense
French Defense Advance Paulsen Main Line Lputian Variation,French Defense
French Defense Advance Paulsen Milner Barry Gambit,French Defense
French Defense Advance Steinitz Variation,French Defense
French Defense Advance Variation,French Defense
French Defense Advance Wade Variation,French Defense
French Defense Alapin Gambit,French Defense
French Defense Baeuerle Gambit,French Defense
French Defense Bird Invitation,French Defense
French Defense Burn Main Line,French Defense
